Log Type          | Timestamp           | Description
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12345, Supplier: Pharma Inc., Item: Aspirin, Quantity: 100.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12346, Supplier: HealthCorp, Item: Ibuprofen, Quantity: 200.00 grams, Total Cost: 1880.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12347, Supplier: MedSupply, Item: Paracetamol, Quantity: 150.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12348, Supplier: Pharma Inc., Item: Amoxicillin, Quantity: 250.00 grams, Total Cost: 3865.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12349, Supplier: HealthCorp, Item: Cetirizine, Quantity: 300.00 grams, Total Cost: 13275.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12350, Supplier: Pharma Inc., Item: Metformin, Quantity: 400.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12351, Supplier: HealthCorp, Item: Lisinopril, Quantity: 500.00 grams, Total Cost: 7950.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12352, Supplier: MedSupply, Item: Atorvastatin, Quantity: 600.00 grams, Total Cost: 4764.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12353, Supplier: Pharma Inc., Item: Omeprazole, Quantity: 700.00 grams, Total Cost: 11683.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12354, Supplier: HealthCorp, Item: Simvastatin, Quantity: 800.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12355, Supplier: MedSupply, Item: Levothyroxine, Quantity: 900.00 grams, Total Cost: 44388.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12356, Supplier: Pharma Inc., Item: Gabapentin, Quantity: 1000.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12357, Supplier: HealthCorp, Item: Hydrochlorothiazide, Quantity: 1100.00 grams, Total Cost: 14531.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12358, Supplier: MedSupply, Item: Amlodipine, Quantity: 1200.00 grams, Total Cost: 13884.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12359, Supplier: Pharma Inc., Item: Metoprolol, Quantity: 1300.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12360, Supplier: HealthCorp, Item: Losartan, Quantity: 1400.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12361, Supplier: MedSupply, Item: Azithromycin, Quantity: 1500.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12362, Supplier: Pharma Inc., Item: Albuterol, Quantity: 1600.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12363, Supplier: HealthCorp, Item: Gabapentin, Quantity: 1700.00 grams, Total Cost: 0.00
ORDER              | [2024-12-04 00:16:01] | Batch Number: 12364, Supplier: MedSupply, Item: Prednisone, Quantity: 1800.00 grams, Total Cost: 0.00
