__________________________________________________________
Pharmacy Name
Pharmacy Address
Pharmacy eMail Address
Pharmacy Phone Number
Financial Report
__________________________________________________________
Sales
SALE               | [2024-12-05 01:36:35] | Medication: Vitamin D, Quantity Sold: 100.00 grams, Gross Income: 605.00
__________________________________________________________
Expenses
ORDER              | [2024-12-05 00:49:49] | Batch Number: 83, Supplier: Manual Restock, Item: Amoxicillin, Quantity: 0.00 grams, Total Cost: 0.00
ORDER              | [2024-12-05 00:56:20] | Batch Number: 84, Supplier: Manual Restock, Item: Vitamin D, Quantity: 100.00 grams, Total Cost: 605.00
ORDER              | [2024-12-05 01:01:40] | Batch Number: 85, Supplier: Manual Restock, Item: Vitamin D, Quantity: 100.00 grams, Total Cost: 605.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 0, Supplier: Pharma Inc., Item: Aspirin, Quantity: 100.00 grams, Total Cost: 2500.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 1, Supplier: HealthCorp, Item: Ibuprofen, Quantity: 200.00 grams, Total Cost: 1880.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 2, Supplier: MedSupply, Item: Paracetamol, Quantity: 150.00 grams, Total Cost: 3000.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 3, Supplier: Pharma Inc., Item: Amoxicillin, Quantity: 250.00 grams, Total Cost: 3865.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 4, Supplier: HealthCorp, Item: Cetirizine, Quantity: 300.00 grams, Total Cost: 13275.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 5, Supplier: Pharma Inc., Item: Metformin, Quantity: 400.00 grams, Total Cost: 5000.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 6, Supplier: HealthCorp, Item: Lisinopril, Quantity: 500.00 grams, Total Cost: 7950.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 7, Supplier: MedSupply, Item: Atorvastatin, Quantity: 600.00 grams, Total Cost: 4764.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 8, Supplier: Pharma Inc., Item: Omeprazole, Quantity: 700.00 grams, Total Cost: 11683.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 9, Supplier: HealthCorp, Item: Simvastatin, Quantity: 800.00 grams, Total Cost: 8000.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 10, Supplier: MedSupply, Item: Levothyroxine, Quantity: 900.00 grams, Total Cost: 44388.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 11, Supplier: Pharma Inc., Item: Gabapentin, Quantity: 1000.00 grams, Total Cost: 0.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 12, Supplier: HealthCorp, Item: Hydrochlorothiazide, Quantity: 1100.00 grams, Total Cost: 14531.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 13, Supplier: MedSupply, Item: Amlodipine, Quantity: 1200.00 grams, Total Cost: 13884.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 14, Supplier: Pharma Inc., Item: Metoprolol, Quantity: 1300.00 grams, Total Cost: 14300.00
ORDER              | [2024-12-05 01:35:01] | Batch Number: 15, Supplier: HealthCorp, Item: Losartan, Quantity: 1400.00 grams, Total Cost: 13300.00
